repository,domain,artifact_id,artifact_name,artifact_type,canonical_status,source_path,canonical_path,owner,version,branch,source_commit,epistemic_class,implementation_target,related_artifacts,migration_status,next_step
Sas-Executar/next-forge,GAP,GAP,.autorc,blob,SOURCE_PATH_OBSERVED_AUTHORITY_NOT_ASSESSED,.autorc,.autorc,,,main,f189de79ceef7c1ef69f61f12e272f99b4cdb699,CORPUS_DIRECT,,,KEEP_PENDING_RECONCILIATION,"Reconcile ID, authority and final target against corpus"
Sas-Executar/next-forge,GAP,GAP,.cursorrules.example,blob,SOURCE_PATH_OBSERVED_AUTHORITY_NOT_ASSESSED,.cursorrules.example,.cursorrules.example,,,main,f189de79ceef7c1ef69f61f12e272f99b4cdb699,CORPUS_DIRECT,,,KEEP_PENDING_RECONCILIATION,"Reconcile ID, authority and final target against corpus"
Sas-Executar/next-forge,GAP,GAP,CODE_OF_CONDUCT.md,blob,SOURCE_PATH_OBSERVED_AUTHORITY_NOT_ASSESSED,.github/CODE_OF_CONDUCT.md,.github/CODE_OF_CONDUCT.md,,,main,f189de79ceef7c1ef69f61f12e272f99b4cdb699,CORPUS_DIRECT,,,KEEP_PENDING_RECONCILIATION,"Reconcile ID, authority and final target against corpus"
Sas-Executar/next-forge,GAP,GAP,CONTRIBUTING.md,blob,SOURCE_PATH_OBSERVED_AUTHORITY_NOT_ASSESSED,.github/CONTRIBUTING.md,.github/CONTRIBUTING.md,,,main,f189de79ceef7c1ef69f61f12e272f99b4cdb699,CORPUS_DIRECT,,,KEEP_PENDING_RECONCILIATION,"Reconcile ID, authority and final target against corpus"
Sas-Executar/next-forge,GAP,GAP,bug_report.md,blob,SOURCE_PATH_OBSERVED_AUTHORITY_NOT_ASSESSED,.github/ISSUE_TEMPLATE/bug_report.md,.github/ISSUE_TEMPLATE/bug_report.md,,,main,f189de79ceef7c1ef69f61f12e272f99b4cdb699,CORPUS_DIRECT,,,KEEP_PENDING_RECONCILIATION,"Reconcile ID, authority and final target against corpus"
Sas-Executar/next-forge,GAP,GAP,feature_request.md,blob,SOURCE_PATH_OBSERVED_AUTHORITY_NOT_ASSESSED,.github/ISSUE_TEMPLATE/feature_request.md,.github/ISSUE_TEMPLATE/feature_request.md,,,main,f189de79ceef7c1ef69f61f12e272f99b4cdb699,CORPUS_DIRECT,,,KEEP_PENDING_RECONCILIATION,"Reconcile ID, authority and final target against corpus"
Sas-Executar/next-forge,GAP,GAP,SECURITY.md,blob,SOURCE_PATH_OBSERVED_AUTHORITY_NOT_ASSESSED,.github/SECURITY.md,.github/SECURITY.md,,,main,f189de79ceef7c1ef69f61f12e272f99b4cdb699,CORPUS_DIRECT,,,KEEP_PENDING_RECONCILIATION,"Reconcile ID, authority and final target against corpus"
Sas-Executar/next-forge,GAP,GAP,copilot-instructions.md.example,blob,SOURCE_PATH_OBSERVED_AUTHORITY_NOT_ASSESSED,.github/copilot-instructions.md.example,.github/copilot-instructions.md.example,,,main,f189de79ceef7c1ef69f61f12e272f99b4cdb699,CORPUS_DIRECT,,,KEEP_PENDING_RECONCILIATION,"Reconcile ID, authority and final target against corpus"
Sas-Executar/next-forge,GAP,GAP,dependabot.yml,blob,SOURCE_PATH_OBSERVED_AUTHORITY_NOT_ASSESSED,.github/dependabot.yml,.github/dependabot.yml,,,main,f189de79ceef7c1ef69f61f12e272f99b4cdb699,CORPUS_DIRECT,,,KEEP_PENDING_RECONCILIATION,"Reconcile ID, authority and final target against corpus"
Sas-Executar/next-forge,GAP,GAP,pull_request_template.md,blob,SOURCE_PATH_OBSERVED_AUTHORITY_NOT_ASSESSED,.github/pull_request_template.md,.github/pull_request_template.md,,,main,f189de79ceef7c1ef69f61f12e272f99b4cdb699,CORPUS_DIRECT,,,KEEP_PENDING_RECONCILIATION,"Reconcile ID, authority and final target against corpus"
